Id,Ident,Type,Name,Latitude_deg,Longitude_deg,Elevation_ft,Continent,Country_name,Iso_country,Region_name,Iso_region,Local_region,Municipality,Scheduled_service,Gps_code,Iata_code,Local_code,Home_link,Wikipedia_link,Keywords,Score,Last_updated
4740,MMPE,closed,"Former Puerto Peñasco Airport",31.3562,-113.526,30,NA,Mexico,MX,Sonora,MX-SON,SON,"Puerto Peñasco",0,,,,,,"PPE, MMPE",50,2021-12-22T17:44:44+00:00
20306,KL67,closed,"Rialto Municipal Miro Field",34.129299163800006,-117.402000427,1455,NA,"United States",US,California,US-CA,CA,Rialto,0,KL67,,L67,,https://en.wikipedia.org/wiki/Rialto_Municipal_Airport,,50,2015-03-17T11:57:37+00:00
18739,K3SQ,closed,"St Charles Airport",38.848701,-90.500098,442,NA,"United States",US,Missouri,US-MO,MO,"St Charles",0,,,3SQ,,,,50,2016-08-04T00:06:08+00:00
28113,X-KDEN,closed,"Denver Stapleton International Airport",39.774200439453125,-104.87899780273438,5333,NA,"United States",US,Colorado,US-CO,CO,Denver,0,,,,,https://en.wikipedia.org/wiki/Stapleton_International_Airport,"DEN KDEN",1,2008-06-13T14:30:04+00:00
6415,TVSV,closed,"E T Joshua Airport",13.1443,-61.210899,66,NA,"Saint Vincent and the Grenadines",VC,"Saint George",VC-04,04,"Arnos Vale",0,,,,,https://en.wikipedia.org/wiki/E.T._Joshua_Airport,"Arnos Vale Airport, SVD, TVSV",875,2021-12-30T14:53:31+00:00
29266,ENNK,closed,"Narvik Framnes Airport",68.436897,17.3867,95,EU,Norway,NO,Nordland,NO-18,18,Narvik,0,ENNK,NVK,,https://avinor.no/en/airport/narvik-airport/,https://en.wikipedia.org/wiki/Narvik_Airport%2C_Framnes,"Narvik lufthavn, Framnes",800,2020-12-30T02:51:54+00:00
2405,EGDL,closed,"RAF Lyneham",51.5051,-1.99343,513,EU,"United Kingdom",GB,England,GB-ENG,ENG,Lyneham,0,EGDL,LYE,,http://www.raf.mod.uk/raflyneham/,https://en.wikipedia.org/wiki/RAF_Lyneham,,475,2016-10-25T02:32:36+00:00
3135,GQNN,closed,"Nouakchott International Airport",18.09754,-15.948222,13,AF,Mauritania,MR,"Nouakchott Region",MR-NKC,NKC,Nouakchott,0,GQNN,,,,https://en.wikipedia.org/wiki/Nouakchott_International_Airport,,150,2021-01-27T12:29:24+00:00
20192,KISZ,closed,"Cincinnati Blue Ash Airport",39.246700286899994,-84.388999939,856,NA,"United States",US,Ohio,US-OH,OH,Cincinnati,0,KISZ,,ISZ,,,,50,2012-08-29T15:22:12+00:00
1528,CSK3,closed,"Montreal / Mascouche Airport",45.718601,-73.598099,75,NA,Canada,CA,Quebec,CA-QC,QC,Montréal,0,CSK3,,CSK3,,https://en.wikipedia.org/wiki/Montr%C3%A9al/Mascouche_Airport,SK3,50,2017-01-29T17:11:20+00:00
8270,1F1,closed,"Lake Murray State Park Airport",34.075097,-97.106679,817,NA,"United States",US,Oklahoma,US-OK,OK,Overbrook,0,,,,,,1F1,50,2019-03-31T14:58:31+00:00
19265,KAIY,closed,"Atlantic City Municipal Bader Field",39.360001,-74.4561,8,NA,"United States",US,"New Jersey",US-NJ,NJ,"Atlantic City",0,,,,,https://en.wikipedia.org/wiki/Bader_Field,"KAIY, AIY",1,2022-01-05T02:06:07+00:00
4426,LLSD,closed,"Sde Dov Airport",32.1147,34.7822,43,AS,Israel,IL,"Tel Aviv District",IL-TA,TA,"Tel Aviv",0,LLSD,SDV,,,https://en.wikipedia.org/wiki/Sde_Dov_Airport,,800,2021-07-31T16:41:51+00:00
3939,KUCA,closed,"Oneida County Airport",43.1451,-75.383904,742,NA,"United States",US,"New York",US-NY,NY,Utica,0,,,,,https://en.wikipedia.org/wiki/Oneida_County_Airport,"KUCA, UCA",599,2020-06-10T10:23:41+00:00
26701,VVNT,closed,"Nha Trang Air Base",12.2275,109.192001,20,AS,Vietnam,VN,"South Central Coast Region",VN-SCC,SCC,"Nha Trang",0,VVNT,NHA,,,https://en.wikipedia.org/wiki/Nha_Trang_Air_Base,"Nhatrang, BA 194",250,2016-11-12T15:01:37+00:00
11776,4W6,closed,"Blaine Municipal Airport",48.990101,-122.732002,75,NA,"United States",US,Washington,US-WA,WA,Blaine,0,,,,,https://en.wikipedia.org/wiki/Blaine_Municipal_Airport,"BWS, 4W6",50,2017-03-10T22:56:10+00:00
21144,KT27,closed,"Horizon Airport",31.719801,-106.237,4007,NA,"United States",US,Texas,US-TX,TX,"El Paso",0,,,,,,"T27, West Texas",50,2021-04-08T13:28:28+00:00
29160,EGLS,closed,"Old Sarum Airfield",51.0989,-1.78417,285,EU,"United Kingdom",GB,England,GB-ENG,ENG,Salisbury,0,EGLS,,,http://www.goflyuk.com/,https://en.wikipedia.org/wiki/Old_Sarum_Airfield,"RAF Old Sarum",50,2019-11-01T11:59:26+00:00
2420,EGHD,closed,"Plymouth City Airport",50.422798,-4.10583,476,EU,"United Kingdom",GB,England,GB-ENG,ENG,Plymouth,0,EGHD,PLH,,http://www.plymouthairport.com/,https://en.wikipedia.org/wiki/Plymouth_City_Airport,,875,2021-07-31T16:36:38+00:00
6518,URRR,closed,"Rostov-on-Don Airport",47.258203,39.8181,280,EU,Russia,RU,"Rostov Oblast",RU-ROS,ROS,Rostov-on-Don,0,URRR,RVI,,http://rnd-airport.ru/,https://en.wikipedia.org/wiki/Rostov-on-Don_Airport,"ROV, Аэропорт Ростов-на-Дону, Rostov-na-Donu Airport",875,2018-04-07T01:41:33+00:00
4850,MUOC,closed,"Cayo Coco Airport",22.513200759900002,-78.51100158690001,6,NA,Cuba,CU,"Ciego de Ávila Province",CU-08,08,"Cayo Coco",0,MUOC,,,,https://en.wikipedia.org/wiki/Cayo_Coco_Airport,CCC,800,2011-08-13T17:20:11+00:00
2287,EDWB,closed,"Bremerhaven Airport",53.506943,8.572778,10,EU,Germany,DE,Bremen,DE-HB,HB,Bremerhaven,0,EDWB,BRV,,,https://en.wikipedia.org/wiki/Bremerhaven_Airport,,450,2021-07-31T16:25:13+00:00
30591,XMUC,closed,"Flughafen München-Riem",48.137798309,11.69029999,,EU,Germany,DE,Bavaria,DE-BY,BY,Munich,0,EDDM,MUC,,,https://en.wikipedia.org/wiki/Munich-Riem_airport,,301,2015-09-18T05:09:37+00:00
7837,13N,closed,"Trinca Airport",40.966801,-74.780197,600,NA,"United States",US,"New Jersey",US-NJ,NJ,Andover,0,,,,,,13N,50,2021-01-02T02:41:39+00:00
19117,K8A6,closed,"Wilgrove Air Park",35.21385,-80.668284,799,NA,"United States",US,"North Carolina",US-NC,NC,Charlotte,0,,QWG,,https://web.archive.org/web/20200910142246/http://www.wilgroveairport.net/,https://en.wikipedia.org/wiki/Wilgrove_Air_Park,8A6,50,2020-09-10T10:00:25+00:00
20037,KHDI,closed,"Hardwick Field",35.2201,-84.832397,874,NA,"United States",US,Tennessee,US-TN,TN,Cleveland,0,,,,,https://en.wikipedia.org/wiki/Hardwick_Field,"KHDI, HDI",50,2017-02-15T22:22:21+00:00
23480,O07,closed,"Westheimer Air Park",29.69514,-95.79607,117,NA,"United States",US,Texas,US-TX,TX,Houston,0,,,,,https://en.wikipedia.org/wiki/Westheimer_Air_Park,"O07, 5TA4",50,2020-09-11T10:42:59+00:00
21459,L80,closed,"Roy Williams Airport",34.154202,-116.251999,2464,NA,"United States",US,California,US-CA,CA,"Joshua Tree",0,,,,,,"Hi Desert, K Field, L80",50,2021-04-14T16:29:03+00:00
15656,9B1,closed,"Marlboro Airport",42.343201,-71.509002,285,NA,"United States",US,Massachusetts,US-MA,MA,Marlboro,0,,MXG,,,https://en.wikipedia.org/wiki/Marlboro_Airport,"9B1, MXG",50,2021-04-15T17:19:02+00:00
19211,K9X1,closed,"North Houston Airport",30.1534,-95.321999,122,NA,"United States",US,Texas,US-TX,TX,Porter,0,K9X1,,9X1,https://www.northhoustonairport.net/,,"Williams Airport",50,2021-11-12T10:16:36+00:00
30044,LZKS,closed,"Kralova pri Senci Airfield",48.201099,17.471901,400,EU,Slovakia,SK,"Bratislava Region",SK-BL,BL,Senec,0,LZKS,,,,,,50,2020-11-01T04:46:29+00:00
18970,K68J,closed,"Tallahassee Commercial Airport",30.5473,-84.373802,155,NA,"United States",US,Florida,US-FL,FL,"Tallahassee /Havana/",0,,,68J,,https://en.wikipedia.org/wiki/Tallahassee_Commercial_Airport,,50,2020-04-10T04:39:50+00:00
12427,5K6,closed,"Westosha Airport",42.514099,-88.2052,850,NA,"United States",US,Wisconsin,US-WI,WI,Wilmot,0,,,,,,"5K6, WI10",50,2020-01-21T18:53:46+00:00
308669,AUS,closed,"Austin Robert Mueller Municipal Airport",30.298722,-97.699785,632,NA,"United States",US,Texas,US-TX,TX,Austin,0,,,,,https://en.wikipedia.org/wiki/Robert_Mueller_Municipal_Airport,"KAUS, AUS",0,2021-05-13T19:38:35+00:00
44093,ZBNY,closed,"Beijing Nanyuan Airport",39.782158,116.386299,,AS,China,CN,"Beijing Municipality",CN-11,11,Beijing,0,,,,,https://en.wikipedia.org/wiki/Nanyuan_Airport,"Nanyuan Air Base, NAY, ZBNY",0,2021-09-30T17:41:08+00:00
4237,LFSR,closed,"Reims-Champagne (BA 112) Air Base",49.310001,4.05,312,EU,France,FR,"Grand Est",FR-GES,GES,Reims/Champagne,0,LFSR,RHE,,,,,975,2016-10-01T12:58:12+00:00
26410,UWSS,closed,"Saratov Central Airport",51.564999,46.0467,499,EU,Russia,RU,"Saratov Oblast",RU-SAR,SAR,Saratov,0,UWSS,RTW,,,https://en.wikipedia.org/wiki/Saratov_Tsentralny_Airport,"Saratov Tsentralny Airport, Аэропорт Центральный",875,2021-03-01T19:48:52+00:00
30762,UUBB,closed,"Bykovo Airport",55.617199,38.060001,427,EU,Russia,RU,"Moscow Oblast",RU-MOS,MOS,Moscow,0,UUBB,BKA,,,https://en.wikipedia.org/wiki/Bykovo_Airport,"Аэропорт Быково",800,2021-08-01T05:19:49+00:00
2399,EGCD,closed,"Manchester Woodford Airport",53.3381,-2.14889,295,EU,"United Kingdom",GB,England,GB-ENG,ENG,Manchester,0,EGCD,,XXB,,https://en.wikipedia.org/wiki/Woodford_Aerodrome,,250,2016-04-28T05:20:20+00:00
29733,SADD,closed,"Don Torcuato Airport",-34.4981,-58.604198,20,SA,Argentina,AR,"Buenos Aires Province",AR-B,B,"Don Torcuato",0,SADD,,DOT,,https://en.wikipedia.org/wiki/Don_Torcuato,SADD,50,2021-04-18T17:16:12+00:00
11778,4W8,closed,"Elma Municipal Airport",46.99054,-123.429656,35,NA,"United States",US,Washington,US-WA,WA,Elma,0,,,,,,"WA22, 4W8, 1WA7",50,2021-09-07T13:01:47+00:00
18748,K3V5,closed,"Fort Collins Downtown Airport",40.588299,-105.042,4939,NA,"United States",US,Colorado,US-CO,CO,"Fort Collins",0,,,,,https://en.wikipedia.org/wiki/Fort_Collins_Downtown_Airport,3V5,50,2019-01-01T22:27:42+00:00
1391,CPD8,closed,"Hawkesbury (Windover Field) Airport",45.5643997192,-74.8097000122,165,NA,Canada,CA,Ontario,CA-ON,ON,Hawkesbury,0,CPD8,,CPD8,,https://en.wikipedia.org/wiki/Hawkesbury_(Windover_Field)_Airport,PD8,50,2014-03-27T14:26:23+00:00
20460,KM88,closed,"Cornelia Fort Airpark",36.19029998779,-86.699699401855,418,NA,"United States",US,Tennessee,US-TN,TN,Nashville,0,KM88,,M88,,,,50,2015-09-25T09:42:17+00:00
17190,F50,closed,"Lake Whitney State Park Airport",31.9252,-97.3647,564,NA,"United States",US,Texas,US-TX,TX,Whitney,0,KF50,,F50,,,,50,2016-06-01T15:49:15+00:00
20447,KM65,closed,"Wynne Municipal Airport",35.231602,-90.761597,370,NA,"United States",US,Arkansas,US-AR,AR,Wynne,0,,,,,,M65,50,2019-11-07T18:28:11+00:00
29963,KAAP,closed,"Andrau Airpark",29.7225,-95.588303,79,NA,"United States",US,Texas,US-TX,TX,Houston,0,,,,,https://en.wikipedia.org/wiki/Andrau_Airpark,"KAAP, AAP",1,2019-07-21T08:25:57+00:00
46091,O62,closed,"Carmel Valley Vintage Airfield",36.481484,-121.729116,450,NA,"United States",US,California,US-CA,CA,"Carmel Valley",0,,,,,,O62,0,2020-06-05T23:18:55+00:00
6468,UKCC,closed,"Donetsk Sergei Prokofiev International Airport",48.075072,37.72527,791,EU,Ukraine,UA,"Donetsk Oblast",UA-14,14,Donetsk,0,UKCC,DOK,,http://airport.dn.ua/,https://en.wikipedia.org/wiki/Donetsk_International_Airport,"Міжнародний аеропорт ""Донецьк""",1200,2021-03-10T13:42:27+00:00
2525,EHSB,closed,"Soesterberg Air Base",52.1273,5.27619,66,EU,Netherlands,NL,Utrecht,NL-UT,UT,Soesterberg,0,EHSB,UTC,,,https://en.wikipedia.org/wiki/Soesterberg_Air_Base,"ACvZ, Amsterdamsche Club voor Zweefvliegen",975,2019-10-02T21:24:09+00:00
5963,SBQV,closed,"Pedro Otacílio Figueiredo Airport",-14.8628,-40.863098,3002,SA,Brazil,BR,Bahia,BR-BA,BA,"Vitória da Conquista",0,SBQV,,,,https://en.wikipedia.org/wiki/Pedro_Otac%C3%ADlio_Figueiredo_Airport,,825,2020-09-24T13:26:16+00:00
5674,ROIG,closed,"Ishigaki Airport",24.3445,124.187,93,AS,Japan,JP,"Okinawa Prefecture",JP-47,47,Ishigaki,0,,,,,https://en.wikipedia.org/wiki/Ishigaki_Airport,"Ishigaki Auxiliary Field #2, ROIG",800,2021-05-04T23:31:36+00:00
1911,CYSR,closed,"Nanisivik Airport",72.980839,-84.610862,2106,NA,Canada,CA,Nunavut,CA-NU,NU,Nanisivik,0,,,,,https://en.wikipedia.org/wiki/Nanisivik_Airport,"YSR, CYSR",800,2021-03-25T17:50:33+00:00
35304,MYPI,closed,"Nassau Paradise Island Airport",25.078138,-77.298689,,NA,Bahamas,BS,"New Providence",BS-NP,NP,Nassau,0,MYPI,PID,,,,,450,2021-07-31T17:31:06+00:00
2748,ETSA,closed,"Landsberg Lech Air Base",48.070599,10.906,2044,EU,Germany,DE,Bavaria,DE-BY,BY,,0,ETSA,,,,,,400,2018-10-12T07:56:55+00:00
3742,KNXX,closed,"Willow Grove Naval Air Station/Joint Reserve Base",40.199795,-75.148201,358,NA,"United States",US,Pennsylvania,US-PA,PA,"Willow Grove",0,,,,,https://en.wikipedia.org/wiki/Naval_Air_Station_Joint_Reserve_Base_Willow_Grove,"NXX, KNXX, Horsham Air Guard Station",250,2017-02-03T21:19:30+00:00
27009,YHOX,closed,"Hoxton Park Airport",-33.909698486328125,150.8520050048828,135,OC,Australia,AU,"New South Wales",AU-NSW,NSW,,0,YHOX,,,,https://en.wikipedia.org/wiki/Hoxton_Park_Airport,,50,2009-06-03T07:11:35+00:00
31553,HSGF,closed,"Azaza Airport",14.121428,35.311861,1640,AF,Sudan,SD,"Al Qadarif State",SD-06,06,"Al Qadarif",0,HSGF,GSU,,,,,50,2021-03-09T22:12:00+00:00
19441,KC22,closed,"Centre Municipal Airport",34.159901,-85.635101,619,NA,"United States",US,Alabama,US-AL,AL,Centre,0,KC22,,C22,,https://en.wikipedia.org/wiki/Centre_Municipal_Airport,,50,2020-10-31T13:22:56+00:00
10080,34AZ,closed,"Gila River Memorial Airport",33.243401,-111.913002,1185,NA,"United States",US,Arizona,US-AZ,AZ,Chandler,0,34AZ,,34AZ,,,,50,2020-06-17T15:24:36+00:00
5061,NZWG,closed,"Wigram Airport",-43.5511016846,172.552993774,74,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,Christchurch,0,NZWG,,,,https://en.wikipedia.org/wiki/Wigram_Aerodrome,,50,2010-06-25T10:48:28+00:00
2489,EGUO,closed,"RAF Colerne Air Base",51.439098,-2.28639,593,EU,"United Kingdom",GB,England,GB-ENG,ENG,Colerne,0,EGUO,,,,https://en.wikipedia.org/wiki/Colerne_Airfield,"RAF Colerne",50,2020-05-16T04:22:50+00:00
19574,KCWS,closed,"Dennis F Cantrell Field",35.080799,-92.425003,316,NA,"United States",US,Arkansas,US-AR,AR,Conway,0,,,,,https://en.wikipedia.org/wiki/Dennis_F._Cantrell_Field,"KCWS, CWS, M03",50,2021-07-04T17:41:55+00:00
18985,K6G0,closed,"Athelone Williams Memorial Airport",43.029099,-83.529702,780,NA,"United States",US,Michigan,US-MI,MI,Davison,0,,,,,,6G0,50,2018-08-26T16:54:20+00:00
890,CEQ5,closed,"Grande Cache Airport",53.916901,-118.874001,4117,NA,Canada,CA,Alberta,CA-AB,AB,"Grande Cache",0,CEQ5,YGC,CEQ5,,https://en.wikipedia.org/wiki/Grande_Cache_Airport,EQ5,50,2020-12-13T13:01:17+00:00
29158,EGLG,closed,"Panshanger Aerodrome",51.80250167849999,-0.158056005836,249,EU,"United Kingdom",GB,England,GB-ENG,ENG,Hertford,0,EGLG,,,http://www.northlondonflyingschool.com/Pansanger/Pansanger.htm,https://en.wikipedia.org/wiki/Panshanger_Airport,,50,2014-09-27T22:52:05+00:00
16052,9X9,closed,"Sack-O-Grande Acroport",29.912701,-95.826599,165,NA,"United States",US,Texas,US-TX,TX,Katy,0,,,,,,"Harbican Airport, 9X9, 9XS9",50,2021-04-26T12:59:10+00:00
21030,KS98,closed,"Vista Field",46.218601,-119.209999,534,NA,"United States",US,Washington,US-WA,WA,Kennewick,0,,,,,https://en.wikipedia.org/wiki/Vista_Field,"VSK, S98",50,2020-03-29T12:42:28+00:00
22656,N00,closed,"Maben Airport",42.272308,-74.394037,1800,NA,"United States",US,"New York",US-NY,NY,Lexington,0,NY98,,NY98,,,"N00, NY98, Maben, Lexington, Prattsville",50,2021-01-08T14:37:39+00:00
24705,T91,closed,"The Carter Memorial Airport",29.728663,-97.66099,475,NA,"United States",US,Texas,US-TX,TX,Luling,0,KT91,,T91,,,"luling, carter memorial",50,2022-02-20T14:12:25+00:00
25311,UT68,closed,"Caveman Ranch Airport",38.472801,-109.660004,3940,NA,"United States",US,Utah,US-UT,UT,Moab,0,UT68,,UT68,,,Tangri-La,50,2021-09-30T09:59:42+00:00
39578,US-32M,closed,"Norfolk Airport / Heenan-Menfi Memorial Airport",42.12854,-71.370277,137,NA,"United States",US,Massachusetts,US-MA,MA,Norfolk,0,,,,,,"32M, MA07, Franklin-Norfolk, Norfolk",50,2021-09-23T18:08:45+00:00
20660,KNUN,closed,"Saufley Naval Outlying Landing Field",30.47008,-87.341108,85,NA,"United States",US,Florida,US-FL,FL,Pensacola,0,,,,,,"KNUN, NUN",50,2021-05-02T15:19:13+00:00
41273,FAQR,closed,"Potgietersrus Airport",-24.233334,28.983334,3500,AF,"South Africa",ZA,Limpopo,ZA-NP,NP,Potgietersus,0,FAQR,,,,,"""Potties"". Potgietersrus Mine",50,2016-04-17T15:33:50+00:00
30335,KRIE,closed,"Rice Lake Municipal Airport",45.480191,-91.722978,1142,NA,"United States",US,Wisconsin,US-WI,WI,"Rice Lake",0,,,,,,"RIE, KRIE",50,2022-03-08T14:41:27+00:00
23476,KNZJ,closed,"El Toro Marine Corps Air Station",33.67610168457031,-117.73100280761719,383,NA,"United States",US,California,US-CA,CA,"Santa Ana",0,KNZJ,,NZJ,,,,50,2009-04-05T12:23:07+00:00
24377,S44,closed,"Spanaway Airport",47.08663,-122.431537,373,NA,"United States",US,Washington,US-WA,WA,Spanaway,0,,,,,,S44,50,2021-12-15T18:08:51+00:00
2657,ESKB,closed,"Barkarby Airport",59.4144743644,17.8821372986,50,EU,Sweden,SE,"Stockholms län",SE-AB,AB,Stockholm,0,ESKB,,,,https://en.wikipedia.org/wiki/Barkarby_Airport,,50,2010-08-30T17:36:39+00:00
21193,KTHP,closed,"Hot Springs County Thermopolis Municipal Airport",43.663055,-108.209703,4592,NA,"United States",US,Wyoming,US-WY,WY,Thermopolis,0,,,,,https://en.wikipedia.org/wiki/Hot_Springs_County%E2%80%93Thermopolis_Municipal_Airport,"THP, KTHP, Hot Springs Co",50,2021-04-15T17:43:28+00:00
1429,CPL5,closed,"Thessalon Municipal Airport",46.3167,-83.533302,750,NA,Canada,CA,Ontario,CA-ON,ON,Thessalon,0,CPL5,,CPL5,,https://en.wikipedia.org/wiki/Thessalon_Municipal_Airport,PL5,50,2017-04-03T19:31:54+00:00
798,CDA3,closed,"Valley Airport",45.396702,-63.215599,175,NA,Canada,CA,"Nova Scotia",CA-NS,NS,Valley,0,,,,,https://en.wikipedia.org/wiki/Valley_Airport,CDA3,50,2017-04-01T20:23:39+00:00
35146,CN-0001,closed,"Old Guangzhou Baiyun International Airport",23.1842,113.265999,,AS,China,CN,"Guangdong Province",CN-44,44,"Guangzhou (Baiyun)",0,,,,,https://en.wikipedia.org/wiki/Guangzhou_Baiyun_International_Airport_%28former%29,"CAN ZGGG",1,2021-05-14T18:20:11+00:00
